id,module,question,A,B,C,D,E,F,answer,explanation
IMG-Q001,Module 7: Service Catalog,A Service Catalog may include which of the following components?,Order Guides Exchange Rates Calendars,Order Guides Catalog Items and Interceptors,Catalog Items Asset Contracts Task Surveys,Record Producers Order Guides and Catalog Items,, ,D,Service Catalog includes record producers order guides and catalog items.
IMG-Q002,Module 4: Database & Tables,Which of the following statements applies to a set of fields when they are coalesced during an import?,If a match is found the existing record is updated with the information being imported,If a match is not found the system does not create a Transform Map,If a match is found a new record is created,If a match is not found the existing record is updated,, ,A,Coalesce fields update existing records when a match is found.
IMG-Q003,Module 6: Reports & Notifications,As it relates to ServiceNow reporting which statement describes what a metric can do?,A metric is a report gauge used on homepages to display real time data,A metric is a time measurement used to report the effectiveness of workflows and SLAs,A metric is used to measure and evaluate the effectiveness of IT service management processes,A metric is a comparative measurement used to report the effectiveness of flows and SLAs,, ,C,Metrics measure and evaluate IT service management effectiveness.
IMG-Q004,Module 7: Service Catalog,The display sequence is controlled in a Service Catalog item using which of the following?,The Default Value field in the Catalog Item form,The Sequence field in the Catalog Item form,The Order field in the Variable form,The Choice field in the Variable form,, ,C,Variable Order controls display sequence.
IMG-Q005,Module 6: Reports & Notifications,Reports can be created from which different places in the platform? (Choose two),List column heading,Metrics module,Statistics module,View Run module,, ,AD,Reports can be created from list headers and from View/Run.
IMG-Q006,Module 5: Knowledge Management,Knowledge Base search results can be sorted by which of the following? (Choose three),Most recent update,Popularity,Relevancy,Manage assignment,Number of views,, ,ACE,Search results can be sorted by most recent relevancy and views.
IMG-Q007,Module 7: Service Catalog,What is the path an Administrator could take to view the fulfillment stage task list for an order placed by a user?,RITM to REQ to Procurement,REQ to RITM to Procurement,REQ to RITM to TASK,FULFILLMENT to TASK,, ,C,Fulfillment tasks follow REQ to RITM to TASK.
IMG-Q008,Module 1: Platform Overview,Which term refers to application menus and modules which you want to access quickly and often?,Breadcrumb,Favorite,Tag,Bookmark,, ,B,Favorites provide quick access to commonly used modules.
IMG-Q009,Module 7: Service Catalog,What is generated from the Service Catalog once a user places an order for an item or service?,A change request,An Order Guide,A request,An SLA,, ,C,A Request (REQ) is generated.
IMG-Q010,Module 2: User Administration,From the User menu which actions can a user select? (Choose three),Send Notifications,Log Out of ServiceNow,Elevate Roles,Impersonate User,Order from Service Catalog,Approve Records,BCE,Users can log out elevate roles and impersonate users.

IMG-Q011,Module 3: Configure Applications for Business,Buttons forms links and context menu items are all examples of what type of functionality?,Business Rule,UI Action,Client Script,UI Policy,, ,B,UI Actions create buttons links and context menu items.
IMG-Q012,Module 7: Service Catalog,Which of the following is true of Service Catalog Items?,They run behind the scenes,They are the building blocks,They are optional,They provide options,, ,B,Catalog items are the building blocks of the Service Catalog.
IMG-Q013,Module 2: User Administration,What is the platform name for the User table?,u_users,sys_users,x_users,sys_user,, ,D,The User table is named sys_user.
IMG-Q014,Module 7: Service Catalog,A REQ number in the Service Catalog represents?,The order number,The stage,The task to complete,The individual item in the order,, ,A,REQ represents the order.
IMG-Q015,Module 1: Platform Overview,Which would NOT appear in the History section of the Application Navigator?,Records,UI Pages,Lists,Forms,, ,B,UI Pages do not appear in History.
IMG-Q016,Module 8: Update Sets,Which one of the following is a recommendation from ServiceNow about Update Sets?,Avoid using the Default Update Set for moving customizations,Ensure instances are on different versions,Use Baseline Update Set for first changes,Reopen completed Update Sets,, ,A,Default Update Set should not be used for migrations.
IMG-Q017,Module 3: Configure Applications for Business,Which of the following is used to initiate a Flow?,A Trigger,Core Action,A Spoke,An Event,, ,A,Flows are initiated by triggers.
IMG-Q018,Module 7: Service Catalog,For Administrators creating new Service Catalog items what is a characteristic they should know about Service Catalog variables?,Service Catalog variables can only be used in Record Producers,Service Catalog variables can only be used in Order Guides,Service Catalog variables cannot affect the order price,Service Catalog variables are global by default,, ,D,Variables are global by default.
IMG-Q019,Module 3: Configure Applications for Business,Which of the following statements is true about Column Context Menus?,They display actions such as creating quick reports configuring lists and exporting data,They display filtering options only,They show record-level actions,They manage relationships,, ,A,Column context menus provide list-level actions.
IMG-Q020,Module 3: Configure Applications for Business,Which of the following statements is true about Column Context Menus?,It displays actions such as filtering and searching,It displays actions related to viewing and editing a single list,It displays actions related to viewing and filtering the entire list,It displays actions such as view form view related list and relationships,, ,C,Column context menus control list-level actions.
IMG2-Q021,Module 4: Database & Tables,Which ServiceNow products can be used to discover and populate the CMDB? (Choose two),Discovery,IntegrationHub ETL,Finder,CMDB Plugin,CMDB Integration Dashboard,,AD,Discovery and CMDB Plugin are used to populate the CMDB.
IMG2-Q022,Module 4: Database & Tables,When using the Load Data and Transform Map process what is the Mapping Assist used for?,Mapping fields using the Import Log,Mapping fields using Transform History,Mapping fields using an SLA,Mapping fields using a Field Map,,,D,Mapping Assist helps map import fields to target fields.
IMG2-Q023,Module 4: Database & Tables,Which statement best describes the contents of the Configuration Management Database (CMDB)?,The CMDB contains data about tangible and intangible business assets,The CMDB contains the Business Rules that direct the lifecycle associated with a company,The CMDB contains all Service Management data and usage statistics,The CMDB contains ITIL process data pertaining to configuration items,,,A,The CMDB stores data about configuration items and their relationships.
IMG2-Q024,Module 4: Database & Tables,In what order are filter elements represented?,Field Operator Value,Value Operator Field,Operator Field Value,Field Value Operator,,,A,Filters are built in the order Field Operator Value.
IMG2-Q025,Module 3: Configure Applications for Business,Which statement is true about business rules?,A business rule must run before a database action occurs,A business rule can be a piece of JavaScript,A business rule must run before a database action occurs,A business rule cannot reside on a form,,,B,Business Rules are server-side JavaScript.
IMG2-Q026,Module 3: Configure Applications for Business,Which of the following is a type of client script supported in ServiceNow? (Choose four),onSubmit,onLoad,onCellEdit,onChange,onDelete,onSave,ABCD,ServiceNow supports onSubmit onLoad onChange and onCellEdit.
IMG2-Q027,Module 4: Database & Tables,Which type of table may be extended by other tables but do not extend another table?,Base Tables,Core Tables,Extended Tables,Custom Tables,,,A,Base tables can be extended by other tables.
IMG2-Q028,Module 7: Service Catalog,Which statement best describes the purpose of an Order Guide?,It allows users to order a single item,It guides users through ordering multiple related items,It creates approvals automatically,It replaces Catalog Items,,,B,Order Guides allow ordering multiple related catalog items.
IMG2-Q029,Module 1: Platform Overview,Which tool is used to have conversations with logged-in users in real time?,Connect Chat,Flow Messaging,User Presence,Comments,,,A,Connect Chat enables real-time conversations.
IMG2-Q030,Module 4: Database & Tables,Which of the following concepts are associated with the ServiceNow CMDB? (Choose four),Service Processes,User Permissions,Tables and Fields,Dependency View,CI Classes,ACDE,CMDB includes tables fields dependency views and CI classes.

IMG3-Q031,Module 3: Configure Applications for Business,What is a Formatter? (Select one),A tool to configure applications,A form element used to display information that is not a field,A background script,A reporting widget,,,B,Formatters display non-field information on forms.
IMG3-Q032,Module 3: Configure Applications for Business,When creating an Application record what can be returned? (Choose four),Names of Applications and Modules,Names of Tables,Names of Fields,Runtime Values,History Records,ABCE,Applications return names of apps modules tables and fields.
IMG3-Q033,Module 4: Database & Tables,Which technique is used to get information from a series of referenced fields from different tables?,Table Walking,Dot Pulling,Dot-Walking,Record Hopping,,,C,Dot-walking accesses related table fields.
IMG3-Q034,Module 4: Database & Tables,What is a schema map?,A schema map displays dependencies between tables,A schema map graphically displays the Configuration Items that support a business service,A schema map displays the details of tables and field relationships in a visual manner,A schema map identifies the database location of all data,,,C,Schema maps show table and field relationships.
IMG3-Q035,Module 8: Update Sets,Which statement best describes the purpose of an Update Set?,It collects all system updates in a single file,It delivers updates including customizations Business Rules and homepages,It migrates data between instances,It deploys plugins automatically,,,B,Update Sets move configuration changes between instances.
IMG3-Q036,Module 3: Configure Applications for Business,Which of the following can be customized through the Basic Configuration UI module? (Choose three),Banner Image,Record Number Format,System Date Format,Form Header Size,ACD,Basic Configuration UI allows banner record number and system date format changes.
IMG3-Q037,Module 2: User Administration,What is the function of user impersonation?,Test and troubleshoot access,Activate system logging,View custom properties,Unlock application modules,,,A,Impersonation allows admins to test access.
IMG3-Q038,Module 4: Database & Tables,What information does the System Dictionary contain?,Language settings,Definitions for tables and columns,Relationships between tables,Spell checking rules,,,B,System Dictionary defines tables and fields.
IMG3-Q039,Module 4: Database & Tables,When inserting or updating records how is auditing performed?,Insert creates new record Update saves changes both log audit info,Insert saves changes Update logs changes,Insert logs changes Update logs changes,Insert logs changes Update edits form,,,A,Auditing logs inserts and updates.
IMG3-Q040,Module 4: Database & Tables,How is the Event Log different from the Event Registry?,Event Log stores generated events Event Registry stores definitions,Event Log stores definitions Event Registry stores history,Event Log stores only integrations Event Registry stores scheduled events,Event Log stores triggers Event Registry stores logs,,,A,Event Log stores events Event Registry stores event definitions.

IMG4-Q041,Module 4: Database & Tables,What is a Dictionary Override?,A Dictionary Override is an incoming customization,A Dictionary Override modifies attributes of fields on extended tables,A Dictionary Override is a script,A Dictionary Override modifies ACLs,,,B,Dictionary Overrides modify inherited field attributes.
IMG4-Q042,Module 2: User Administration,Which group permission is used to control Application and Module access?,Access Control Lists,Policies,Roles,Assignment Rules,,,C,Roles control access to applications and modules.
IMG4-Q043,Module 7: Service Catalog,What is a Record Producer?,A Catalog Item used for Requests and Services,A Catalog Item that creates task-based records,A Workflow that provisions services,A Script Include,,,B,Record Producers create task-based records.
IMG4-Q044,Module 7: Service Catalog,Create Incident Password Reset and Report outage What do these services have in common?,They direct the user to a record producer,They direct the user to a catalog property,They direct the user to a UI policy,They direct the user to a client script,,,A,These services use Record Producers.
IMG4-Q045,Module 4: Database & Tables,What is the Import Set Table?,A table that stores update set information,A table that defines relationships,A staging area for imported records,A repository for Transform Maps,,,C,Import Set tables temporarily store imported data.
IMG4-Q046,Module 4: Database & Tables,What is a characteristic of importing data into ServiceNow?,An existing Transform Map can be used one time,Coalesce fields are used only after import,Import sets run once per instance,An existing Transform Map can be reused multiple times,,,D,Transform Maps can be reused.
IMG4-Q047,Module 7: Service Catalog,Which module in the Service Catalog provides Administrators access to begin creating a new Item?,Maintain Categories,Maintain Items,Content Items,Items,,,B,Maintain Items is used to create catalog items.
IMG4-Q048,Module 3: Configure Applications for Business,Which allows a user to edit field values in a list without opening the form?,Data Editor,Edit Menu,List Editor,Form Designer,,,C,List Editor allows inline editing.
IMG4-Q049,Module 7: Service Catalog,Which three Variable Types can be added to a Service Catalog Item?,TrueFalse Multiple Choice Dropdown,Single Line Text and Reference,Checkbox Select Box and Checkbox,Multiple Choice Select Box and Checkbox,,D,These variable types are supported in Service Catalog.
IMG4-Q050,Module 8: Update Sets,How are Workflows moved between instances?,Using Update Sets,Using Transform Maps,Using Application Sets,Workflows cannot be moved,,,A,Workflows are moved using Update Sets.

IMG5-Q051,Module 3: Configure Applications for Business,Which section of the ServiceNow UI allows you to perform a global search?,Application Navigator,Banner Frame,Content Frame,Filter Pane,,,B,Global search is in the banner frame.
IMG5-Q052,Module 3: Configure Applications for Business,How do you make a list filter available to everyone?,Make it active and save,Assign it to roles,Assign it to groups,Publish the filter,,,D,Filters must be published to be shared.
IMG5-Q053,Module 3: Configure Applications for Business,What would NOT appear in the Application Navigator if service is typed in the filter field?,Configuration Business Services,IT Service Knowledge,Service Portal Widgets,Incident Assigned to me,,,D,Records do not appear in the Application Navigator.
IMG5-Q054,Module 3: Configure Applications for Business,Which allows you to categorize filter and locate records?,Search,Reports,Lists,Bookmarks,,,C,Lists allow categorizing filtering and locating records.
IMG5-Q055,Module 3: Configure Applications for Business,Which tool should be used to populate commonly used fields in a form?,Template,Reference Qualifier,Formatter,Assignment Rule,,,A,Templates populate common field values.
IMG5-Q056,Module 2: User Administration,How is a group defined in ServiceNow?,A group is one record in the Group table,A group is one record in the Group User table,A group defines all users that share the same job title,A group defines a role,,,A,Groups are stored as records in the Group table.
IMG5-Q057,Module 2: User Administration,What is a role in ServiceNow?,A role is one record in the Role table,A role is one record in the sys_user_role table,A role is assigned to an application,A role is a process used in Live Feed,,,B,Roles are records in sys_user_role.
IMG5-Q058,Module 6: Reports & Notifications,What is a Notification?,A new Knowledge article,A tool for alerting users that events have occurred,A message through Connect Chat,A report attachment,,,B,Notifications alert users to system events.
IMG5-Q059,Module 6: Reports & Notifications,Which one of the following is NOT a type of Visual Task Board?,Flexible,Freeform,Guided,Custom boards,,,C,Guided is not a Visual Task Board type.
IMG5-Q060,Module 2: User Administration,What are best practices regarding users and groups? (Choose two),Assign roles directly to users,Assign users to roles,Assign users to groups,Assign roles to groups,, ,CD,Best practice is assigning users to groups and roles to groups.
SET8-Q061,Module 6: Reports & Notifications,What are two/compiler ways to generate an Event? (Choose two),Business Rule,Workflow,Log entry,Knowledge article publication,, ,AB,Events can be generated by Business Rules and Workflows.
SET8-Q062,Module 6: Reports & Notifications,Which one of the following platform provides a view of standard field record and event or tracks that created it such as incident incident and problem problem tables?,Task table,Assignment Management,Service Inventory,Workflow Workflow,, ,A,The Task table provides a standard view across task-based records.
SET8-Q063,Module 4: Database & Tables,Which of the following statements describes how data is organized in a table?,A column is a field in the database and a record is one row,A column is one field and a record is one column,A column is one field and a record is a cell,A column contains data from one user and a record is one set of fields,, ,A,Tables consist of rows (records) and columns (fields).
